"","x"
"1","Fairmount Line"
"2","Fitchburg/South Acton Line"
"3","Framingham/Worcester Line"
"4","Franklin Line"
"5","Greenbush Line"
"6","Haverhill Line"
"7","Kingston/Plymouth Line"
"8","Lowell Line"
"9","Middleborough/Lakeville Line"
"10","Needham Line"
"11","Newburyport/Rockport Line"
"12","Providence/Stoughton Line"
